id,tier,name,prevName,WP,parry,dmgScaling,onHit,identity,+3 Signature,Effect,Mechanism,Shippability,Design notes
19,T1,Vagabond,Broadsword,4,12%,PA x WP,—,Nimble budget starter; line-best early evade,—,—,—,none (T1),T1 carries no signature (growth only) per design
20,T1,Cleaver,Longsword,6,5%,PA x WP,Knockback (Rush),Heavy early aggressor,—,—,—,none (T1),T1 carries no signature (growth only) per design
21,T2,Riposte,Iron Sword,6,16%,PA x WP,—,Parry duelist; top evade of the line,—,—,—,none (T2),T2 carries no signature (growth only) per design
22,T2,Claymore,Mythril Sword,7,0%,PA x WP,—,Reach-2 greatsword (strikes a tile back),—,—,—,none (T2),T2 carries no signature (growth only) per design
23,T3,Sanguine Sword,Blood Sword,10,12%,drains HP (f6),Absorb HP,Blood Sword / Gaffgarion life-drain,Shadow Blade,Grants the wielder Gaffgarion's dark sword-draw: a ranged strike that absorbs the struck foe's HP straight into the wielder.,"Command-grant: inject Shadow Blade (ability 165) into the wielder's Squire/Knight (or Ramza Mettle) menu, held per tick (the proven Barrage path).","VERIFIED LIVE 2026-06-15: renders with its real menu name + casts (proven on Ramza's Mettle); whitelisted to Squire/Knight + Ramza's story sword forms",PICK. Doubles down on the innate drain - the sellsword's blade teaches the sellsword's art. Most thematic T3.
24,T3,Stormbrand,Coral Sword,8,5%,PA x WP,Casts Thunder,The line's only Lightning sword,—,—,—,none (growth only),"Chain Lightning already shipped on Stormarc (bow) - skip to avoid a dupe. ALT 'Galvanize': PA surges while the map rains / wielder is Wet (untested, flavorful)."
25,T3,Tanglethorn,Ancient Sword,7,5%,PA x WP,Immobilize,The line's only Immobilize / pin source,—,—,—,bench,BENCH 'Rooted': its Immobilize never expires + is uncurable (the Plague/Eagle-Eye status-hold pattern). Untested - the Immobilize bit+timer aren't mapped/held live yet.
26,T3,Flamberge,Sleep Blade,8,5%,PA x WP (Fire),— (deals Fire),The line's only Fire sword; anti-Undead,—,—,—,none (growth only),Its element IS its reward; no strong distinct sig that isn't a dupe.
27,T4,Wrathblade,Platinum Sword,12,4%,missing-HP (f67),—,Berserker; damage = the wielder's missing HP,Feign Death,"Plays dead at a lethal blow, 1/battle: ignored by foes 2 turns, then springs back at ~10% HP - which loads its missing-HP damage to near-max.",Runtime status-hold (held Reraise + Invisible bits; up-next finishing blow).,SHIPPED & verified live 2026-06-14,Already shipped (commit 23daacb). Counts toward the 3-4 cap.
28,T4,Swiftedge,Diamond Sword,8,10%,Speed x WP (f99),—,"Speed-knight; damage = Speed x WP, not PA",Afterimage,"Each turn the wielder acts, Speed +1 (stacks, cap +5); taking a hit resets it to 0. Because damage = Speed x WP, the blade literally accelerates into a killing edge - keep moving, keep blurring.",Stat-hold growth path (proven) + new per-turn stacking & hit-edge reset logic.,BUILT 2026-06-14 (logic + 10 tests green); PENDING LIVE VERIFY,PICK + INVENTED. The most synergistic of the slate - the signature directly feeds its unique formula. A real combo/momentum identity.
29,T5,Graviton,Icebrand,12,14%,PA x WP,Casts Gravity,Giant-slayer; %-HP gravity shear vs tanks/bosses,—,—,—,bench,"BENCH 'Event Horizon': on hit, drag the target's LEVEL down (level-drain), or a wilder HP-swap. Untested + swingy, but very exciting on a giant-slayer. Can't force the Gravity proc to 100% (proc rate is Denuvo-walled)."
30,T5,Arcanum,Runeblade,14,8%,PA x WP,May strip buffs,Arcane dispel; the melee anti-buff answer,Larceny,"On hit, Arcanum doesn't just dispel the foe's buff - it STEALS it: rip Protect/Shell/Haste/Reflect/etc. off the target and the wielder wears it for a few turns.","Status-bit transfer on the proven Poison/Doom/Charm hold family: latch the struck enemy, clear the buff bit on them, set + hold it on the wielder for N turns, then release.","BUILT 2026-06-14 (runtime + tests; transfer proven on the Reraise/Invisible bits); COVERAGE PENDING -- map the marquee buff bits via poison_probe, then add table rows",PICK (swapped in for Lightbringer). The anti-buff blade turns thief - rip the boss's Haste/Protect and turn it against them. Map the buff bits with the watchspan probe + a failing test before shipping.
31,T5,Lightbringer,Nagrarok,14,12%,PA x WP (Holy),— (deals Holy),The line's ONLY Holy sword,—,—,—,none (growth only),"Signature dropped 2026-06-14 (curator call - avoid a second ability-grant). Bench if revisited: 'Radiance' holy heal-aura (the proven Wyrmblood pattern), or granting a Holy Knight sword-wave (Northswain's Strike / Divine Ruination)."
67,T5,Warbrand,Iron Flail,15,0%,PA x WP,—,Pure-power brute; highest WP of any sword,—,—,—,bench,"BENCH 'Bloodlust': Adrenaline (PROVEN) - below 30% HP, Attack Boost + Move+2 for 3 turns. The brute that rages when it bleeds. Clean proven fallback if a pick is cut."
